tales	similarity (overlap of top 10 nouns)
('15. Hänsel und Grethel .', 'full corpus')	5
('16. Die drei Schlangenblätter .', 'full corpus')	5
('19. Von dem Fischer un syner Fru .', '47. Von dem Machandelboom .')	5
('49. Die sechs Schwäne .', 'full corpus')	5
('3. Marienkind .', '9. Die zwölf Brüder .')	4
('6. Der treue Johannes .', '50. Dornröschen .')	4
('11. Brüderchen und Schwesterchen .', '31. Das Mädchen ohne Hände .')	4
('11. Brüderchen und Schwesterchen .', '49. Die sechs Schwäne .')	4
('11. Brüderchen und Schwesterchen .', '76. Die Nelke .')	4
('12. Rapunzel .', 'full corpus')	4
('13. Die drei Männlein im Walde .', '20. Das tapfere Schneiderlein .')	4
('13. Die drei Männlein im Walde .', 'full corpus')	4
('15. Hänsel und Grethel .', '40. Der Räuberbräutigam .')	4
('15. Hänsel und Grethel .', '49. Die sechs Schwäne .')	4
('15. Hänsel und Grethel .', '85. Die Goldkinder .')	4
('20. Das tapfere Schneiderlein .', '64. Die goldene Gans .')	4
('37. Daumesdick .', '78. Der alte Großvater und der Enkel .')	4
('37. Daumesdick .', 'full corpus')	4
('40. Der Räuberbräutigam .', '49. Die sechs Schwäne .')	4
('43. Frau Trude .', 'full corpus')	4
('48. Der alte Sultan .', '75. Der Fuchs und die Katze .')	4
('49. Die sechs Schwäne .', '50. Dornröschen .')	4
('85. Die Goldkinder .', 'full corpus')	4
('1. Der Froschkönig oder der eiserne Heinrich .', '13. Die drei Männlein im Walde .')	3
('1. Der Froschkönig oder der eiserne Heinrich .', '80. Von dem Tode des Hühnchens .')	3
('2. Katze und Maus in Gesellschaft .', '43. Frau Trude .')	3
('2. Katze und Maus in Gesellschaft .', 'full corpus')	3
('3. Marienkind .', '49. Die sechs Schwäne .')	3
('3. Marienkind .', '50. Dornröschen .')	3
('3. Marienkind .', '55. Rumpelstilzchen .')	3
('4. Mährchen von einem , der auszog das Fürchten zu lernen .', '78. Der alte Großvater und der Enkel .')	3
('5. Der Wolf und die sieben jungen Geislein .', '9. Die zwölf Brüder .')	3
('5. Der Wolf und die sieben jungen Geislein .', '48. Der alte Sultan .')	3
('6. Der treue Johannes .', '16. Die drei Schlangenblätter .')	3
('6. Der treue Johannes .', '76. Die Nelke .')	3
('8. Der wunderliche Spielmann .', '26. Rothkäppchen .')	3
('9. Die zwölf Brüder .', '13. Die drei Männlein im Walde .')	3
('9. Die zwölf Brüder .', '49. Die sechs Schwäne .')	3
('10. Das Lumpengesindel .', '41. Herr Korbes .')	3
('11. Brüderchen und Schwesterchen .', '50. Dornröschen .')	3
('11. Brüderchen und Schwesterchen .', 'full corpus')	3
('12. Rapunzel .', '16. Die drei Schlangenblätter .')	3
('12. Rapunzel .', '34. Die kluge Else .')	3
('12. Rapunzel .', '37. Daumesdick .')	3
('12. Rapunzel .', '43. Frau Trude .')	3
('12. Rapunzel .', '50. Dornröschen .')	3
('13. Die drei Männlein im Walde .', '15. Hänsel und Grethel .')	3
('13. Die drei Männlein im Walde .', '19. Von dem Fischer un syner Fru .')	3
('13. Die drei Männlein im Walde .', '29. Der Teufel mit den drei goldenen Haaren .')	3
('13. Die drei Männlein im Walde .', '40. Der Räuberbräutigam .')	3
('13. Die drei Männlein im Walde .', '43. Frau Trude .')	3
('13. Die drei Männlein im Walde .', '51. Fundevogel .')	3
('13. Die drei Männlein im Walde .', '64. Die goldene Gans .')	3
('13. Die drei Männlein im Walde .', '85. Die Goldkinder .')	3
('15. Hänsel und Grethel .', '16. Die drei Schlangenblätter .')	3
('15. Hänsel und Grethel .', '26. Rothkäppchen .')	3
('15. Hänsel und Grethel .', '37. Daumesdick .')	3
('15. Hänsel und Grethel .', '48. Der alte Sultan .')	3
('16. Die drei Schlangenblätter .', '37. Daumesdick .')	3
('16. Die drei Schlangenblätter .', '52. König Drosselbart .')	3
('16. Die drei Schlangenblätter .', '78. Der alte Großvater und der Enkel .')	3
('17. Die weiße Schlange .', '57. Der goldene Vogel .')	3
('19. Von dem Fischer un syner Fru .', '20. Das tapfere Schneiderlein .')	3
('20. Das tapfere Schneiderlein .', 'full corpus')	3
('24. Frau Holle .', '43. Frau Trude .')	3
('25. Die sieben Raben .', '43. Frau Trude .')	3
('25. Die sieben Raben .', '49. Die sechs Schwäne .')	3
('25. Die sieben Raben .', 'full corpus')	3
('26. Rothkäppchen .', '40. Der Räuberbräutigam .')	3
('26. Rothkäppchen .', '49. Die sechs Schwäne .')	3
('26. Rothkäppchen .', '73. Der Wolf und der Fuchs .')	3
('26. Rothkäppchen .', 'full corpus')	3
('27. Die Bremer Stadtmusikanten .', '40. Der Räuberbräutigam .')	3
('28. Der singende Knochen .', '49. Die sechs Schwäne .')	3
('28. Der singende Knochen .', 'full corpus')	3
('31. Das Mädchen ohne Hände .', '49. Die sechs Schwäne .')	3
('31. Das Mädchen ohne Hände .', '50. Dornröschen .')	3
('31. Das Mädchen ohne Hände .', '52. König Drosselbart .')	3
('31. Das Mädchen ohne Hände .', '76. Die Nelke .')	3
('31. Das Mädchen ohne Hände .', 'full corpus')	3
('34. Die kluge Else .', '37. Daumesdick .')	3
('34. Die kluge Else .', '42. Der Herr Gevatter .')	3
('34. Die kluge Else .', 'full corpus')	3
('37. Daumesdick .', '58. Der Hund und der Sperling .')	3
('37. Daumesdick .', '85. Die Goldkinder .')	3
('38. Die Hochzeit der Frau Füchsin .', '48. Der alte Sultan .')	3
('38. Die Hochzeit der Frau Füchsin .', '75. Der Fuchs und die Katze .')	3
('39. Die Wichtelmänner .', '78. Der alte Großvater und der Enkel .')	3
('42. Der Herr Gevatter .', '44. Der Gevatter Tod .')	3
('43. Frau Trude .', '49. Die sechs Schwäne .')	3
('48. Der alte Sultan .', 'full corpus')	3
('49. Die sechs Schwäne .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	3
('49. Die sechs Schwäne .', '56. Der Liebste Roland .')	3
('49. Die sechs Schwäne .', '76. Die Nelke .')	3
('50. Dornröschen .', '76. Die Nelke .')	3
('50. Dornröschen .', 'full corpus')	3
('52. König Drosselbart .', '71. Sechse kommen durch die ganze Welt .')	3
('52. König Drosselbart .', 'full corpus')	3
('53. Sneewittchen .', '76. Die Nelke .')	3
('54. Der Ranzen , das Hütlein und das Hörnlein .', 'full corpus')	3
('63. Die drei Federn .', 'full corpus')	3
('71. Sechse kommen durch die ganze Welt .', '75. Der Fuchs und die Katze .')	3
('78. Der alte Großvater und der Enkel .', 'full corpus')	3
('1. Der Froschkönig oder der eiserne Heinrich .', '8. Der wunderliche Spielmann .')	2
('1. Der Froschkönig oder der eiserne Heinrich .', '9. Die zwölf Brüder .')	2
('1. Der Froschkönig oder der eiserne Heinrich .', '17. Die weiße Schlange .')	2
('1. Der Froschkönig oder der eiserne Heinrich .', '20. Das tapfere Schneiderlein .')	2
('1. Der Froschkönig oder der eiserne Heinrich .', '29. Der Teufel mit den drei goldenen Haaren .')	2
('1. Der Froschkönig oder der eiserne Heinrich .', '51. Fundevogel .')	2
('1. Der Froschkönig oder der eiserne Heinrich .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	2
('1. Der Froschkönig oder der eiserne Heinrich .', '64. Die goldene Gans .')	2
('2. Katze und Maus in Gesellschaft .', '12. Rapunzel .')	2
('2. Katze und Maus in Gesellschaft .', '15. Hänsel und Grethel .')	2
('2. Katze und Maus in Gesellschaft .', '23. Von dem Mäuschen , Vögelchen und der Bratwurst .')	2
